zip,zip_type,primary_city,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,City,CriteriaID,State,StateAbrv,DMARegion,DMARegionCode
01344,STANDARD,Erving,FranklinCounty,America/New_York,"413,978",42.6,-72.4,NA,US,0,1247,Erving,1018199,Massachusetts,MA,"Springfield-Holyoke, MA",543
01346,STANDARD,Heath,FranklinCounty,America/New_York,413,42.66,-72.83,NA,US,0,0,Heath,1018239,Massachusetts,MA,"Springfield-Holyoke, MA",543
01351,STANDARD,Montague,FranklinCounty,America/New_York,413,42.53,-72.53,NA,US,0,2016,Montague,1018311,Massachusetts,MA,"Springfield-Holyoke, MA",543
01360,STANDARD,Northfield,FranklinCounty,America/New_York,413,42.7,-72.43,NA,US,0,2627,Northfield,1018346,Massachusetts,MA,"Springfield-Holyoke, MA",543
01364,STANDARD,Orange,FranklinCounty,America/New_York,978,42.59,-72.3,NA,US,0,6044,Orange,1018352,Massachusetts,MA,"Springfield-Holyoke, MA",543
01364,STANDARD,Orange,FranklinCounty,America/New_York,978,42.59,-72.3,NA,US,0,6044,Orange,9052600,Massachusetts,MA,"Springfield-Holyoke, MA",543
01366,STANDARD,Petersham,WorcesterCounty,America/New_York,978,42.48,-72.18,NA,US,0,1104,Petersham,1018362,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01367,STANDARD,Rowe,FranklinCounty,America/New_York,413,42.7,-72.9,NA,US,0,444,Rowe,1018383,Massachusetts,MA,"Springfield-Holyoke, MA",543
01370,STANDARD,ShelburneFalls,FranklinCounty,America/New_York,413,42.6,-72.74,NA,US,0,3439,ShelburneFalls,1018399,Massachusetts,MA,"Springfield-Holyoke, MA",543
01373,STANDARD,SouthDeerfield,FranklinCounty,America/New_York,413,42.47,-72.59,NA,US,0,4019,SouthDeerfield,1018407,Massachusetts,MA,"Springfield-Holyoke, MA",543
01375,STANDARD,Sunderland,FranklinCounty,America/New_York,413,42.46,-72.58,NA,US,0,2777,Sunderland,1018429,Massachusetts,MA,"Springfield-Holyoke, MA",543
01376,STANDARD,TurnersFalls,FranklinCounty,America/New_York,413,42.59,-72.55,NA,US,0,3968,TurnersFalls,1018439,Massachusetts,MA,"Springfield-Holyoke, MA",543
01420,STANDARD,Fitchburg,WorcesterCounty,America/New_York,"978,617",42.58,-71.81,NA,US,0,28652,Fitchburg,1018207,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01430,STANDARD,Ashburnham,WorcesterCounty,America/New_York,978,42.63,-71.9,NA,US,0,5364,Ashburnham,1018098,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01431,STANDARD,Ashby,MiddlesexCounty,America/New_York,978,42.68,-71.81,NA,US,0,2749,Ashby,1018099,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01432,STANDARD,Ayer,MiddlesexCounty,America/New_York,978,42.56,-71.58,NA,US,0,6017,Ayer,1018109,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01432,STANDARD,Ayer,MiddlesexCounty,America/New_York,978,42.56,-71.58,NA,US,0,6017,Ayer,9051534,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01434,STANDARD,Devens,WorcesterCounty,America/New_York,,42.53,-71.61,NA,US,0,0,Devens,9051832,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01436,STANDARD,Baldwinville,WorcesterCounty,America/New_York,978,42.6,-72.07,NA,US,0,2457,Baldwinville,1018111,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01438,POBOX,EastTempleton,WorcesterCounty,America/New_York,978,42.53,-72.05,NA,US,0,614,EastTempleton,1018193,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01440,STANDARD,Gardner,WorcesterCounty,America/New_York,978,42.58,-71.98,NA,US,0,15067,Gardner,1018212,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01441,UNIQUE,Westminster,WorcesterCounty,America/New_York,978,42.58,-71.98,NA,US,0,0,Westminster,1018479,Massachusetts,MA,"Boston, MA-Manchester, NH",506
